SPICY,ra,dec,l,b,GaiaDR2,source_id,parallax,D
105682,295.026198,21.537929,57.522524,-0.405347,1826169108716401024,1826169108716401024,0.4215699570122614,2.3720855420703395
105633,294.920788,21.614607,57.540949,-0.282267,1826173472403323648,1826173472403323648,0.0316546,31.590985196464338
105879,295.451827,21.742073,57.895541,-0.648386,1826190205605549696,1826190205605549696,0.9747690826054888,1.0258839943169626
105857,295.42951,21.785352,57.92287,-0.608942,1826191270757199360,1826191270757199360,0.7581237789509694,1.3190458177999898
105809,295.310939,21.928635,57.992897,-0.442397,1826207969590303744,1826207969590303744,1.6170616635532724,0.6184056072435955
105836,295.378193,21.947274,58.039967,-0.487383,1826208240158876672,1826208240158876672,4.611292051760464,0.2168589603033769
105815,295.321077,22.025631,58.081846,-0.402583,1827710825869439872,1827710825869439872,1.3815666294457576,0.723815977229538
105971,295.620402,22.290763,58.449529,-0.511956,1827721992791147520,1827721992791147520,0.078803648,12.68976786455368
106454,296.135622,22.501352,58.869406,-0.820164,1827752023198342272,1827752023198342272,0.5414397286523887,1.8469276395526806
106377,295.978217,22.56227,58.849632,-0.663772,1827756666082452608,1827756666082452608,0.037915959,26.374118613220357
106602,296.430321,22.378972,58.899753,-1.117231,1827781679946196608,1827781679946196608,0.4037421536796822,2.476828319475831
106471,296.172212,22.592576,58.965321,-0.803856,1827847062236779520,1827847062236779520,1.115694539422772,0.8963026748498483
106839,296.768234,23.356547,59.901584,-0.895339,1828274325579019648,1828274325579019648,0.2280904796517146,4.384225073869639
116555,336.5347,57.545424,104.397184,-0.001036,2007868559171137664,2007868559171137664,0.053782513,18.59340414234642
116558,336.544994,57.555822,104.407359,0.004889,2007868589225187584,2007868589225187584,0.070009099,14.283857588282915
116542,336.462237,57.586433,104.385809,0.054306,2007872231354876416,2007872231354876416,0.4113266868459501,2.4311575980347704
116541,336.459482,57.60205,104.392803,0.068347,2007872304382521216,2007872304382521216,0.204123265954592,4.899000588313406
116548,336.48441,57.596891,104.401423,0.056914,2007872613620185600,2007872613620185600,0.3110506024149533,3.2149109895179113
116627,336.848937,57.626479,104.583094,-0.020531,2007875637277325312,2007875637277325312,0.142175757980477,7.033547872045219
